Designator,Mid X,Mid Y,Rotation,Layer
C1,71.5,-68.8,0.0,top
C10,167.725,-54.0,180.0,top
C11,161.7,-59.0,180.0,top
C12,131.2,-71.9,270.0,top
C13,90.0,-43.5,0.0,top
C2,77.4,-80.5,0.0,top
C3,134.7,-74.8,180.0,top
C4,167.7,-26.5,270.0,top
C6,145.225,-54.0,0.0,top
C7,150.0,-59.0,180.0,top
C8,158.75,-22.0,0.0,top
C9,170.6,-25.7,0.0,top
D1,54.5,-79.1,90.0,top
D2,52.2,-79.1,90.0,top
D3,152.25,-23.47,0.0,top
D4,53.0,-85.0,0.0,top
D5,53.0,-83.0,0.0,top
D6,134.7125,-55.5,0.0,top
J1,136.2225,-20.45,0.0,top
J10,166.4225,-90.85,0.0,top
J11,171.0,-72.46,180.0,top
J12,55.9,-70.7,270.0,top
J13,138.43,-60.96,90.0,top
J3,57.3275,-36.495,270.0,top
J6,142.24,-93.98,270.0,top
J7,154.9225,-90.65,0.0,top
J8,137.69,-39.9,90.0,top
J9,137.69,-44.1,90.0,top
L1,163.7,-20.25,90.0,top
Q1,139.5625,-76.35,270.0,top
Q2,145.4,-25.6,0.0,top
R1,75.675,-68.8,0.0,top
R12,56.7875,-85.0,180.0,top
R13,56.8,-83.0,180.0,top
R14,58.9,-89.2,180.0,top
R15,140.675,-55.5,180.0,top
R16,70.8,-66.6,180.0,top
R17,67.125,-66.6,180.0,top
R2,57.6,-78.3,0.0,top
R3,64.3,-72.5,0.0,top
R4,64.3,-69.8,0.0,top
R5,134.8,-69.8,180.0,top
R6,143.75,-72.775,180.0,top
R7,154.925,-27.97,0.0,top
R8,165.0,-26.5,270.0,top
R9,165.775,-29.1,0.0,top
SW1,54.0,-91.5,270.0,top
U1,73.73,-54.99,90.0,top
U2,153.605,-41.65,0.0,top
U3,139.5625,-69.775,0.0,top
U4,74.25,-74.23,180.0,top
U5,161.1,-26.325,270.0,top
U6,157.605,-74.7,0.0,top
